<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2022.12.01,0:00:00,1.0408,1.0408,1.04028,1.04052,16,0,11
2022.12.01,0:05:00,1.04065,1.04069,1.04005,1.0401,34,0,11
2022.12.01,0:10:00,1.04005,1.04025,1.03984,1.03992,245,0,38
2022.12.01,0:15:00,1.03995,1.04,1.03988,1.03999,495,0,45
2022.12.01,0:20:00,1.03998,1.04024,1.0399,1.04022,494,0,36
2022.12.01,0:25:00,1.04022,1.04072,1.04014,1.04054,25,0,30
2022.12.01,0:30:00,1.04059,1.04069,1.04059,1.04067,111,0,31
2022.12.01,0:35:00,1.04061,1.0407,1.04049,1.04052,35,0,29
2022.12.01,0:40:00,1.04049,1.04064,1.0403,1.04062,85,0,30
2022.12.01,0:45:00,1.04058,1.04069,1.04037,1.0404,221,0,31
2022.12.01,0:50:00,1.04042,1.04064,1.04026,1.04033,149,0,22
2022.12.01,0:55:00,1.04038,1.04101,1.04025,1.04072,118,0,21
2022.12.01,1:00:00,1.04072,1.04188,1.04072,1.04174,176,0,2
2022.12.01,1:05:00,1.04174,1.04185,1.04156,1.04157,250,0,8
2022.12.01,1:10:00,1.04156,1.04184,1.04111,1.04174,461,0,2
2022.12.01,1:15:00,1.04175,1.04189,1.04137,1.04148,305,0,8
2022.12.01,1:20:00,1.04149,1.04151,1.04117,1.04124,238,0,2
2022.12.01,1:25:00,1.04118,1.0414,1.04102,1.04119,217,0,7
2022.12.01,1:30:00,1.04117,1.04154,1.04117,1.04146,200,0,7
2022.12.01,1:35:00,1.04146,1.04189,1.04144,1.04181,288,0,7
2022.12.01,1:40:00,1.04175,1.04295,1.04175,1.04257,471,0,2
2022.12.01,1:45:00,1.04257,1.04267,1.04229,1.04257,500,0,8
2022.12.01,1:50:00,1.04257,1.04266,1.04231,1.04246,213,0,8
2022.12.01,1:55:00,1.04246,1.04252,1.04223,1.04228,159,0,2
2022.12.01,2:00:00,1.04228,1.04296,1.04224,1.04257,470,0,1
2022.12.01,2:05:00,1.04258,1.04258,1.0423,1.04231,294,0,6
2022.12.01,2:10:00,1.0423,1.04276,1.04215,1.04264,285,0,1
2022.12.01,2:15:00,1.04264,1.04311,1.04241,1.0431,266,0,1
2022.12.01,2:20:00,1.04311,1.04322,1.04249,1.04264,237,0,1
2022.12.01,2:25:00,1.04264,1.04321,1.04264,1.04285,173,0,6
2022.12.01,2:30:00,1.04286,1.04305,1.04264,1.04301,150,0,5
2022.12.01,2:35:00,1.04301,1.0432,1.04296,1.04309,136,0,6
2022.12.01,2:40:00,1.04309,1.04326,1.04302,1.04316,163,0,6
2022.12.01,2:45:00,1.04317,1.04363,1.04316,1.04318,295,0,9
2022.12.01,2:50:00,1.04322,1.04353,1.04298,1.04311,392,0,9
2022.12.01,2:55:00,1.04312,1.0439,1.043,1.04377,420,0,6
2022.12.01,3:00:00,1.04374,1.0443,1.04344,1.04407,424,0,1
2022.12.01,3:05:00,1.04406,1.04475,1.04397,1.04435,391,0,1
2022.12.01,3:10:00,1.04435,1.04449,1.0439,1.04407,259,0,1
2022.12.01,3:15:00,1.04407,1.04413,1.04322,1.04332,234,0,1
2022.12.01,3:20:00,1.04335,1.0437,1.04316,1.04322,327,0,1
2022.12.01,3:25:00,1.0432,1.04335,1.04284,1.04334,244,0,1
2022.12.01,3:30:00,1.04332,1.04353,1.04298,1.04298,216,0,1
2022.12.01,3:35:00,1.04298,1.04312,1.04251,1.04266,286,0,1
2022.12.01,3:40:00,1.04266,1.04291,1.04242,1.0426,221,0,1
2022.12.01,3:45:00,1.04263,1.04319,1.04251,1.04316,290,0,1
2022.12.01,3:50:00,1.04314,1.04315,1.0426,1.04286,357,0,1
2022.12.01,3:55:00,1.04291,1.04296,1.04251,1.04259,281,0,1
2022.12.01,4:00:00,1.04257,1.04261,1.04204,1.04211,247,0,1
2022.12.01,4:05:00,1.04211,1.04258,1.04202,1.04219,203,0,1
2022.12.01,4:10:00,1.0422,1.04244,1.04203,1.04205,206,0,1
2022.12.01,4:15:00,1.04206,1.04234,1.04187,1.0422,169,0,1
2022.12.01,4:20:00,1.0422,1.04261,1.04209,1.04259,155,0,1
2022.12.01,4:25:00,1.04263,1.04292,1.04246,1.04288,224,0,1
2022.12.01,4:30:00,1.04288,1.04305,1.04258,1.04293,253,0,1
2022.12.01,4:35:00,1.04293,1.04307,1.04262,1.04274,268,0,1
2022.12.01,4:40:00,1.04275,1.04278,1.04236,1.04243,200,0,1
2022.12.01,4:45:00,1.04244,1.0428,1.04236,1.04256,180,0,1
2022.12.01,4:50:00,1.04257,1.04257,1.04232,1.04236,148,0,1
2022.12.01,4:55:00,1.04237,1.04269,1.04233,1.04257,137,0,1
2022.12.01,5:00:00,1.04258,1.04281,1.04243,1.04271,183,0,7
2022.12.01,5:05:00,1.04267,1.04293,1.04255,1.04291,126,0,6
2022.12.01,5:10:00,1.04294,1.04295,1.04229,1.04244,154,0,1
2022.12.01,5:15:00,1.04245,1.0428,1.04239,1.0428,159,0,1
2022.12.01,5:20:00,1.04279,1.043,1.04265,1.04275,149,0,5
2022.12.01,5:25:00,1.04273,1.04284,1.04241,1.04241,107,0,1
2022.12.01,5:30:00,1.04246,1.04293,1.04246,1.04292,127,0,1
2022.12.01,5:35:00,1.04293,1.04327,1.04293,1.04319,146,0,1
2022.12.01,5:40:00,1.04318,1.04326,1.04288,1.04299,111,0,1
2022.12.01,5:45:00,1.04299,1.04304,1.04279,1.04298,109,0,1
2022.12.01,5:50:00,1.04298,1.04316,1.04274,1.04301,132,0,1
2022.12.01,5:55:00,1.04302,1.04322,1.04298,1.04315,98,0,1
2022.12.01,6:00:00,1.04315,1.04316,1.04257,1.0427,175,0,1
2022.12.01,6:05:00,1.0427,1.04278,1.0426,1.04278,65,0,1
2022.12.01,6:10:00,1.04278,1.04299,1.04278,1.04291,96,0,1
2022.12.01,6:15:00,1.04291,1.04316,1.04284,1.04305,90,0,1
2022.12.01,6:20:00,1.04305,1.04324,1.04294,1.04322,90,0,1
2022.12.01,6:25:00,1.04322,1.04339,1.0432,1.04325,114,0,1
2022.12.01,6:30:00,1.04329,1.04378,1.04323,1.04368,134,0,1
2022.12.01,6:35:00,1.04365,1.04403,1.04362,1.04396,124,0,1
2022.12.01,6:40:00,1.044,1.0441,1.04391,1.044,101,0,1
2022.12.01,6:45:00,1.044,1.04424,1.04362,1.04373,127,0,1
2022.12.01,6:50:00,1.04373,1.04403,1.04369,1.04385,94,0,1
2022.12.01,6:55:00,1.04386,1.04399,1.04383,1.04392,75,0,1
2022.12.01,7:00:00,1.0439,1.04413,1.04377,1.04406,82,0,0
2022.12.01,7:05:00,1.04407,1.04434,1.04397,1.04414,87,0,0
2022.12.01,7:10:00,1.04415,1.04442,1.04402,1.04442,129,0,0
2022.12.01,7:15:00,1.04437,1.04472,1.04424,1.04445,286,0,0
2022.12.01,7:20:00,1.04445,1.04468,1.04426,1.04465,276,0,0
2022.12.01,7:25:00,1.04465,1.04482,1.04438,1.04439,183,0,0
2022.12.01,7:30:00,1.04439,1.04458,1.04427,1.04454,185,0,0
2022.12.01,7:35:00,1.0445,1.04482,1.04446,1.04474,211,0,0
2022.12.01,7:40:00,1.04474,1.04516,1.04468,1.04502,345,0,0
2022.12.01,7:45:00,1.045,1.04505,1.04455,1.04455,171,0,0
2022.12.01,7:50:00,1.0446,1.04476,1.04417,1.04422,162,0,0
2022.12.01,7:55:00,1.04424,1.0447,1.04407,1.04458,210,0,0
2022.12.01,8:00:00,1.04455,1.04455,1.04421,1.04435,230,0,0
2022.12.01,8:05:00,1.04435,1.04469,1.04424,1.04424,203,0,0
2022.12.01,8:10:00,1.04424,1.04451,1.04419,1.04432,184,0,0
2022.12.01,8:15:00,1.04428,1.0445,1.04427,1.04441,173,0,0
2022.12.01,8:20:00,1.04441,1.04445,1.04413,1.04434,141,0,0
2022.12.01,8:25:00,1.04434,1.04456,1.04406,1.04421,170,0,0
2022.12.01,8:30:00,1.04421,1.04452,1.04413,1.04447,149,0,0
2022.12.01,8:35:00,1.04451,1.04498,1.04441,1.04485,126,0,0
2022.12.01,8:40:00,1.04482,1.04516,1.0448,1.04488,182,0,0
2022.12.01,8:45:00,1.04489,1.0454,1.04475,1.04536,210,0,0
2022.12.01,8:50:00,1.04537,1.04564,1.04521,1.04557,310,0,0
2022.12.01,8:55:00,1.04556,1.04564,1.04523,1.04559,419,0,0
2022.12.01,9:00:00,1.04564,1.04593,1.04502,1.04524,836,0,0
2022.12.01,9:05:00,1.04526,1.04542,1.04489,1.04489,554,0,0
2022.12.01,9:10:00,1.04494,1.04505,1.04444,1.04475,613,0,0
2022.12.01,9:15:00,1.04475,1.04619,1.04471,1.04607,673,0,0
2022.12.01,9:20:00,1.04606,1.0464,1.0456,1.04568,630,0,0
2022.12.01,9:25:00,1.0457,1.04571,1.04471,1.04489,679,0,0
2022.12.01,9:30:00,1.04489,1.04497,1.0443,1.04442,673,0,0
2022.12.01,9:35:00,1.04444,1.04481,1.04399,1.0443,598,0,0
2022.12.01,9:40:00,1.04428,1.0444,1.0435,1.04368,610,0,0
2022.12.01,9:45:00,1.04371,1.04428,1.04363,1.04408,503,0,0
2022.12.01,9:50:00,1.04408,1.04408,1.04164,1.04223,1244,0,0
2022.12.01,9:55:00,1.0422,1.04223,1.03936,1.0403,1644,0,0
2022.12.01,10:00:00,1.0403,1.04132,1.0393,1.04132,1442,0,0
2022.12.01,10:05:00,1.04133,1.04167,1.041,1.0411,1088,0,0
2022.12.01,10:10:00,1.04111,1.04241,1.04109,1.04237,1088,0,0
2022.12.01,10:15:00,1.04235,1.04278,1.04112,1.04118,1098,0,0
2022.12.01,10:20:00,1.04123,1.0415,1.04096,1.04102,974,0,0
2022.12.01,10:25:00,1.04099,1.04116,1.04034,1.04109,813,0,0
2022.12.01,10:30:00,1.04106,1.04199,1.04103,1.0418,938,0,0
2022.12.01,10:35:00,1.04179,1.04281,1.04167,1.04274,854,0,0
2022.12.01,10:40:00,1.04272,1.0432,1.04236,1.04303,743,0,0
2022.12.01,10:45:00,1.04302,1.04351,1.04266,1.04282,694,0,0
2022.12.01,10:50:00,1.04286,1.04388,1.04271,1.04364,658,0,0
2022.12.01,10:55:00,1.04364,1.04465,1.04361,1.04441,650,0,0
2022.12.01,11:00:00,1.0444,1.04469,1.04352,1.04369,660,0,0
2022.12.01,11:05:00,1.0437,1.04381,1.04301,1.04302,679,0,0
2022.12.01,11:10:00,1.04298,1.04361,1.04269,1.0436,515,0,0
2022.12.01,11:15:00,1.0436,1.04409,1.04353,1.04406,519,0,0
2022.12.01,11:20:00,1.04405,1.04449,1.04373,1.04384,634,0,0
2022.12.01,11:25:00,1.04383,1.04418,1.04335,1.04401,544,0,0
2022.12.01,11:30:00,1.044,1.04411,1.04344,1.04354,730,0,0
2022.12.01,11:35:00,1.04354,1.04371,1.04287,1.0431,663,0,0
2022.12.01,11:40:00,1.04309,1.04364,1.04293,1.04357,673,0,0
2022.12.01,11:45:00,1.04357,1.0438,1.04317,1.04376,404,0,0
2022.12.01,11:50:00,1.04378,1.04408,1.04354,1.04376,491,0,0
2022.12.01,11:55:00,1.04374,1.04426,1.04371,1.04415,602,0,0
2022.12.01,12:00:00,1.04414,1.04442,1.04378,1.04408,578,0,0
2022.12.01,12:05:00,1.04408,1.04467,1.04394,1.04431,611,0,0
2022.12.01,12:10:00,1.04429,1.045,1.04429,1.0446,555,0,0
2022.12.01,12:15:00,1.0446,1.04492,1.0444,1.0446,555,0,0
2022.12.01,12:20:00,1.0446,1.04477,1.04409,1.04439,440,0,0
2022.12.01,12:25:00,1.0444,1.04462,1.04419,1.04429,497,0,0
2022.12.01,12:30:00,1.0443,1.04432,1.04349,1.04365,484,0,0
2022.12.01,12:35:00,1.04365,1.04379,1.04309,1.04324,511,0,0
2022.12.01,12:40:00,1.04324,1.04341,1.04273,1.04283,458,0,0
2022.12.01,12:45:00,1.04282,1.04314,1.0427,1.04314,424,0,0
2022.12.01,12:50:00,1.04312,1.04384,1.04311,1.04379,379,0,0
2022.12.01,12:55:00,1.04376,1.04385,1.04184,1.04202,719,0,0
2022.12.01,13:00:00,1.04203,1.04258,1.04176,1.04242,724,0,0
2022.12.01,13:05:00,1.04242,1.0431,1.04233,1.04299,541,0,0
2022.12.01,13:10:00,1.04298,1.04305,1.04265,1.04292,346,0,0
2022.12.01,13:15:00,1.04291,1.04313,1.04251,1.04302,371,0,0
2022.12.01,13:20:00,1.04303,1.04346,1.04289,1.04336,309,0,0
2022.12.01,13:25:00,1.04337,1.04344,1.04298,1.04343,443,0,0
2022.12.01,13:30:00,1.04343,1.04402,1.04339,1.04395,494,0,0
2022.12.01,13:35:00,1.04388,1.04405,1.0437,1.04391,430,0,0
2022.12.01,13:40:00,1.04391,1.04405,1.04357,1.04371,456,0,0
2022.12.01,13:45:00,1.0437,1.04377,1.04306,1.04309,420,0,0
2022.12.01,13:50:00,1.04309,1.04366,1.04289,1.04354,430,0,0
2022.12.01,13:55:00,1.04353,1.0438,1.04339,1.04376,493,0,0
2022.12.01,14:00:00,1.04376,1.04411,1.04372,1.0441,446,0,0
2022.12.01,14:05:00,1.0441,1.04446,1.04401,1.04429,448,0,0
2022.12.01,14:10:00,1.04427,1.04498,1.04409,1.04411,567,0,0
2022.12.01,14:15:00,1.04412,1.04432,1.04374,1.0438,506,0,0
2022.12.01,14:20:00,1.0438,1.04426,1.04361,1.04401,446,0,0
