,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var11(t-1),var1(t)
34,0.061742783,0.06101799,0.06856918,0.072870255,0.05577469,0.7572114,0.5885254,0.62336075,0.052707672,0.012928009,0.029550552,0.060417175
35,0.060417175,0.06196785,0.066679,0.06947327,0.056772232,0.72782034,0.5843602,0.6209755,0.05443573,0.012928009,0.031866074,0.07291603
36,0.07291603,0.060071945,0.07366943,0.06985092,0.05968666,0.83458376,0.588758,0.62005204,0.059812546,0.015592575,0.034183502,0.07859802
37,0.07859802,0.07182121,0.08122444,0.078157425,0.063446045,0.86913675,0.5948971,0.620688,0.06365013,0.02319336,0.034570694,0.08390236
38,0.08390236,0.077884674,0.089725494,0.088163376,0.06801224,0.8971426,0.60205686,0.62280005,0.06797218,0.031482697,0.031671524,0.07859802
39,0.07859802,0.08338165,0.08481407,0.08684158,0.071424484,0.79090333,0.60228217,0.62454015,0.06797218,0.031482697,0.035535812,0.06439209
40,0.06439209,0.0780735,0.07801247,0.07400513,0.072229385,0.5788541,0.5906493,0.6233273,0.06941223,0.031482697,0.032445908,0.0625
41,0.0625,0.06443024,0.069890976,0.072870255,0.07011986,0.5560425,0.5787423,0.6196907,0.06998634,0.031482697,0.034183502,0.06477165
42,0.06477165,0.061588287,0.063280106,0.06683159,0.06732178,0.58138067,0.5697599,0.61477,0.07085228,0.031482697,0.040750504,0.05795288
43,0.05795288,0.06385994,0.066679,0.06947327,0.062065125,0.49672455,0.5566133,0.60788953,0.07085228,0.031482697,0.040555954,0.051893234
44,0.051893234,0.057416916,0.058935165,0.060602188,0.056655884,0.43228447,0.54090136,0.5988668,0.06864548,0.032863617,0.03630829,0.05075836
45,0.05075836,0.051355362,0.05496788,0.05890274,0.05389595,0.42066932,0.5269111,0.5885158,0.066625595,0.036319733,0.038625717,0.06136322
46,0.06136322,0.050785065,0.060256958,0.060602188,0.05366516,0.5563655,0.5228993,0.57933664,0.066625595,0.04253769,0.039785385,0.055683136
47,0.055683136,0.060451508,0.059501648,0.06229973,0.05182457,0.49168533,0.5150021,0.5702249,0.06413078,0.04253769,0.038625717,0.050569534
48,0.050569534,0.05609131,0.055913925,0.060602188,0.0503273,0.43911368,0.5045595,0.56059706,0.060674667,0.04253769,0.031288147,0.041477203
49,0.041477203,0.049648285,0.049303055,0.051727295,0.04821968,0.35969716,0.48937172,0.54949385,0.05366707,0.04253769,0.035341263,0.04299164
50,0.04299164,0.0409317,0.048734665,0.05134964,0.04664612,0.38109946,0.47829166,0.53813016,0.051748276,0.043128967,0.038625717,0.040340424
51,0.040340424,0.04263687,0.04609108,0.051538467,0.04238701,0.35776502,0.4675509,0.526634,0.050401688,0.041749954,0.04017067,0.043180466
52,0.043180466,0.039985657,0.044202805,0.048519135,0.039855957,0.40211862,0.4611598,0.51600593,0.046178818,0.040761948,0.043067932,0.050569534
53,0.050569534,0.04263687,0.049303055,0.05267334,0.039855957,0.50549114,0.46152994,0.50758636,0.046178818,0.040761948,0.050598145,0.0560627
54,0.0560627,0.050785065,0.055156708,0.059656143,0.04281044,0.57085323,0.4658265,0.5018128,0.046178818,0.040761948,0.05542755,0.057006836
55,0.057006836,0.055524826,0.057613373,0.061922073,0.045648575,0.5818097,0.46986982,0.49809942,0.045793533,0.040761948,0.05677986,0.053409576
56,0.053409576,0.05647087,0.057991028,0.062675476,0.048294067,0.5312643,0.47038972,0.4952451,0.04502678,0.040761948,0.059482574,0.047538757
57,0.047538757,0.05306053,0.052513123,0.057767868,0.04917717,0.45719254,0.4665045,0.49209166,0.04502678,0.040761948,0.05542755,0.049999237
58,0.049999237,0.047185898,0.052890778,0.057767868,0.04906273,0.4932649,0.46522287,0.4892819,0.04502678,0.040761948,0.054655075,0.046211243
59,0.046211243,0.049648285,0.048545837,0.057014465,0.047067642,0.44543093,0.46148688,0.48619747,0.04502678,0.040761948,0.057357788,0.050189972
60,0.050189972,0.045858383,0.050813675,0.057203293,0.04568672,0.50641495,0.46147394,0.48372707,0.04502678,0.040761948,0.06141472,0.05283928
61,0.05283928,0.04983902,0.053079605,0.059091568,0.04557228,0.54491496,0.46342024,0.48218656,0.04723358,0.040761948,0.06295967,0.05662918
62,0.05662918,0.05154419,0.055347443,0.06135559,0.047412872,0.5970423,0.46770036,0.48191258,0.04723358,0.040761948,0.068754196,0.047727585
63,0.047727585,0.056661606,0.055725098,0.056446075,0.0469532,0.4697538,0.4646059,0.48100048,0.04723358,0.040761948,0.06797981,0.05454445
64,0.05454445,0.047374725,0.052890778,0.05833435,0.048639297,0.5608313,0.4671075,0.48083097,0.04723358,0.038196564,0.07068443,0.053598404
65,0.053598404,0.053819656,0.056669235,0.063243866,0.049329758,0.5475314,0.46836492,0.48097694,0.046560287,0.034643173,0.066049576,0.047159195
66,0.047159195,0.05268097,0.053646088,0.058713913,0.048179626,0.46262276,0.46467012,0.48026636,0.046560287,0.030399323,0.07068443,0.05681801
67,0.05681801,0.047563553,0.055347443,0.059656143,0.04821968,0.5855056,0.46875143,0.4806118,0.046560287,0.028720856,0.077251434,0.06193161
68,0.06193161,0.05647087,0.061769485,0.06852913,0.051095963,0.6384875,0.47559965,0.48242167,0.05030632,0.028720856,0.07512665,0.058143616
69,0.058143616,0.061208725,0.06157875,0.0675869,0.05182457,0.58519566,0.478115,0.48443282,0.05136299,0.026153564,0.069524765,0.05795288
70,0.05795288,0.05760765,0.057424545,0.06588745,0.052705765,0.5824661,0.47980338,0.48641983,0.05136299,0.026153564,0.068367004,0.058523178
71,0.058523178,0.057416916,0.059690475,0.06494331,0.055007935,0.5898516,0.48137194,0.48836067,0.05136299,0.026153564,0.06546974,0.061172485
72,0.061172485,0.05817604,0.060825348,0.06947327,0.05588913,0.6250584,0.4843306,0.49057588,0.05136299,0.026153564,0.06817436,0.05265236
73,0.05265236,0.060638428,0.059690475,0.061733246,0.05401039,0.49216133,0.48028493,0.49144208,0.051748276,0.026153564,0.064697266,0.054166794
74,0.054166794,0.05211258,0.052513123,0.06229973,0.05320549,0.5150763,0.47803798,0.49163193,0.05117035,0.026153564,0.06450462,0.05662918
75,0.05662918,0.05362892,0.0564785,0.06569862,0.052936554,0.55247,0.47790846,0.49175477,0.05117035,0.026153564,0.063539505,0.059280396
76,0.059280396,0.05609131,0.059690475,0.06683159,0.05308914,0.59160274,0.47957775,0.49222687,0.05117035,0.026153564,0.065662384,0.0625
77,0.0625,0.058746338,0.061201096,0.068719864,0.053358078,0.6365672,0.48304623,0.49338123,0.05107498,0.026153564,0.064891815,0.06306839
78,0.06306839,0.06196785,0.064035416,0.07362747,0.055469513,0.6444828,0.48597085,0.49495962,0.052324295,0.029607773,0.073776245,0.07121086
79,0.07121086,0.06329346,0.071401596,0.074193954,0.058919907,0.7430862,0.4939026,0.49799848,0.056066513,0.033456802,0.077251434,0.0765152
80,0.0765152,0.07011604,0.07612419,0.08155632,0.06294823,0.792305,0.5036177,0.5026051,0.058467865,0.035923004,0.08188629,0.077272415
81,0.077272415,0.076747894,0.07744789,0.08703041,0.06659126,0.7989709,0.5113405,0.5080197,0.05914116,0.03661537,0.08652115,0.07215881
82,0.07215881,0.076747894,0.08009148,0.08155632,0.068546295,0.6845037,0.5131776,0.5127628,0.060482025,0.0379982,0.08652115,0.074430466
83,0.074430466,0.071632385,0.07612419,0.082876205,0.070848465,0.71117365,0.5157105,0.5171244,0.0625,0.0379982,0.092121124,0.07575798
84,0.07575798,0.07409477,0.07536888,0.0855217,0.071769714,0.7268153,0.5180788,0.5211441,0.06413078,0.0379982,0.08227348,0.078409195
85,0.078409195,0.0748539,0.07801247,0.084386826,0.072155,0.75758654,0.52124566,0.52506894,0.064899445,0.039182663,0.07512665,0.07992363
86,0.07992363,0.0780735,0.08197975,0.088163376,0.07268906,0.774752,0.52418286,0.5288666,0.06729889,0.041057587,0.09714317,0.08522797
87,0.08522797,0.079589844,0.08349228,0.08910942,0.07533646,0.8284955,0.5296398,0.53312665,0.07181358,0.041849136,0.1011982,0.085796356
88,0.085796356,0.083761215,0.08915901,0.09325981,0.077638626,0.8338093,0.533593,0.5374199,0.07670975,0.04480934,0.08787155,0.08958244
89,0.08958244,0.08527565,0.0884037,0.093639374,0.080438614,0.86781937,0.53864413,0.5419857,0.07670975,0.04480934,0.073581696,0.08465767
90,0.08465767,0.089063644,0.09104729,0.0959034,0.08170509,0.73092496,0.53821373,0.5455419,0.07766914,0.04579544,0.07049179,0.087501526
91,0.087501526,0.08413696,0.08651352,0.0938282,0.0832386,0.76435053,0.53909695,0.54858464,0.07766914,0.04579544,0.06257248,0.09128761
92,0.09128761,0.0862236,0.09104729,0.097415924,0.084466934,0.80449235,0.5416801,0.55159724,0.07766914,0.04579544,0.060256958,0.09659004
93,0.09659004,0.09077072,0.09747124,0.10156822,0.086652756,0.8516738,0.54666024,0.55512255,0.0822773,0.049152374,0.056394577,0.087688446
94,0.087688446,0.0956974,0.09539223,0.09911156,0.08626747,0.6513707,0.54321283,0.5571708,0.084293365,0.049152374,0.020666122,0.081438065
95,0.081438065,0.0881176,0.08991432,0.091939926,0.085617065,0.54684854,0.5351158,0.5569963,0.08506203,0.049152374,0.0030899048,0.088256836
96,0.088256836,0.08129501,0.08878136,0.09005165,0.08576965,0.6327186,0.53289604,0.5563596,0.08659744,0.049152374,0.009849548,0.08390236
