,Time,Actual,Predict
0,2022-10-06 14:05:00,0.98821,0.98778
1,2022-10-06 14:10:00,0.98856,0.98772
2,2022-10-06 14:15:00,0.98865,0.98776
3,2022-10-06 14:20:00,0.98767,0.98838
4,2022-10-06 14:25:00,0.98835,0.98791
5,2022-10-06 14:30:00,0.98877,0.98722
6,2022-10-06 14:35:00,0.98886,0.98655
7,2022-10-06 14:40:00,0.98897,0.98687
8,2022-10-06 14:45:00,0.98923,0.98632
9,2022-10-06 14:50:00,0.98917,0.98553
10,2022-10-06 14:55:00,0.98966,0.98519
11,2022-10-06 15:00:00,0.98985,0.9857
12,2022-10-06 15:05:00,0.98997,0.98559
13,2022-10-06 15:10:00,0.98968,0.9853
14,2022-10-06 15:15:00,0.9893,0.98463
15,2022-10-06 15:20:00,0.98951,0.98457
16,2022-10-06 15:25:00,0.98887,0.98444
17,2022-10-06 15:30:00,0.98895,0.98446
18,2022-10-06 15:35:00,0.98888,0.98694
19,2022-10-06 15:40:00,0.98863,0.98634
20,2022-10-06 15:45:00,0.98868,0.98675
21,2022-10-06 15:50:00,0.98892,0.98634
22,2022-10-06 15:55:00,0.98824,0.98587
23,2022-10-06 16:00:00,0.98786,0.98739
24,2022-10-06 16:05:00,0.98789,0.9852
25,2022-10-06 16:10:00,0.98833,0.98533
26,2022-10-06 16:15:00,0.98829,0.98436
27,2022-10-06 16:20:00,0.98856,0.98404
28,2022-10-06 16:25:00,0.98832,0.98511
29,2022-10-06 16:30:00,0.98801,0.98366
30,2022-10-06 16:35:00,0.98854,0.98394
31,2022-10-06 16:40:00,0.98842,0.98476
32,2022-10-06 16:45:00,0.98844,0.98456
33,2022-10-06 16:50:00,0.98841,0.98365
34,2022-10-06 16:55:00,0.9889,0.98284
35,2022-10-06 17:00:00,0.98803,0.98246
36,2022-10-06 17:05:00,0.98759,0.98292
37,2022-10-06 17:10:00,0.987,0.98289
38,2022-10-06 17:15:00,0.98748,0.98319
39,2022-10-06 17:20:00,0.98651,0.98373
40,2022-10-06 17:25:00,0.98606,0.98432
41,2022-10-06 17:30:00,0.98594,0.98421
42,2022-10-06 17:35:00,0.98686,0.98342
43,2022-10-06 17:40:00,0.98648,0.98367
44,2022-10-06 17:45:00,0.98622,0.98373
45,2022-10-06 17:50:00,0.98598,0.9842
46,2022-10-06 17:55:00,0.98566,0.98415
47,2022-10-06 18:00:00,0.98611,0.98423
48,2022-10-06 18:05:00,0.98583,0.98425
49,2022-10-06 18:10:00,0.98716,0.98429
50,2022-10-06 18:15:00,0.98813,0.98366
51,2022-10-06 18:20:00,0.988,0.98379
52,2022-10-06 18:25:00,0.98731,0.98362
53,2022-10-06 18:30:00,0.98695,0.98353
54,2022-10-06 18:35:00,0.98685,0.98321
55,2022-10-06 18:40:00,0.9857,0.98324
56,2022-10-06 18:45:00,0.9854,0.98247
57,2022-10-06 18:50:00,0.9852,0.98224
58,2022-10-06 18:55:00,0.98499,0.98183
59,2022-10-06 19:00:00,0.98425,0.98129
60,2022-10-06 19:05:00,0.9833,0.9805
61,2022-10-06 19:10:00,0.98407,0.98038
62,2022-10-06 19:15:00,0.98443,0.9796
63,2022-10-06 19:20:00,0.98423,0.97937
64,2022-10-06 19:25:00,0.98256,0.97967
65,2022-10-06 19:30:00,0.98239,0.98001
66,2022-10-06 19:35:00,0.9829,0.97898
67,2022-10-06 19:40:00,0.98252,0.9799
68,2022-10-06 19:45:00,0.9824,0.98022
69,2022-10-06 19:50:00,0.98289,0.98038
70,2022-10-06 19:55:00,0.9836,0.98017
71,2022-10-06 20:00:00,0.9839,0.98036
72,2022-10-06 20:05:00,0.98365,0.98073
73,2022-10-06 20:10:00,0.98263,0.9804
74,2022-10-06 20:15:00,0.98324,0.98082
75,2022-10-06 20:20:00,0.98353,0.98125
76,2022-10-06 20:25:00,0.98428,0.98206
77,2022-10-06 20:30:00,0.98376,0.98122
78,2022-10-06 20:35:00,0.98405,0.98206
79,2022-10-06 20:40:00,0.98386,0.98086
80,2022-10-06 20:45:00,0.98385,0.98135
81,2022-10-06 20:50:00,0.98295,0.98117
82,2022-10-06 20:55:00,0.98325,0.98198
83,2022-10-06 21:00:00,0.98278,0.9817
84,2022-10-06 21:05:00,0.98308,0.98143
85,2022-10-06 21:10:00,0.98298,0.98088
86,2022-10-06 21:15:00,0.98261,0.98153
87,2022-10-06 21:20:00,0.9818,0.98107
88,2022-10-06 21:25:00,0.98181,0.98129
89,2022-10-06 21:30:00,0.98174,0.98074
90,2022-10-06 21:35:00,0.98048,0.98117
91,2022-10-06 21:40:00,0.98047,0.98066
92,2022-10-06 21:45:00,0.97989,0.98079
93,2022-10-06 21:50:00,0.97929,0.98035
94,2022-10-06 21:55:00,0.97911,0.98045
95,2022-10-06 22:00:00,0.97973,0.97978
96,2022-10-06 22:05:00,0.97985,0.97947
97,2022-10-06 22:10:00,0.98005,0.9794
98,2022-10-06 22:15:00,0.97976,0.97933
99,2022-10-06 22:20:00,0.98029,0.97942
100,2022-10-06 22:25:00,0.98009,0.97975
101,2022-10-06 22:30:00,0.98008,0.98014
102,2022-10-06 22:35:00,0.98025,0.97959
103,2022-10-06 22:40:00,0.98052,0.9795
104,2022-10-06 22:45:00,0.98005,0.97964
105,2022-10-06 22:50:00,0.981,0.97984
106,2022-10-06 22:55:00,0.98116,0.98029
107,2022-10-06 23:00:00,0.98096,0.97954
108,2022-10-06 23:05:00,0.98136,0.97988
109,2022-10-06 23:10:00,0.981,0.98061
110,2022-10-06 23:15:00,0.98084,0.98003
111,2022-10-06 23:20:00,0.981,0.9803
112,2022-10-06 23:25:00,0.98113,0.97984
113,2022-10-06 23:30:00,0.981,0.97993
114,2022-10-06 23:35:00,0.98164,0.97923
115,2022-10-06 23:40:00,0.98098,0.97928
116,2022-10-06 23:45:00,0.9811,0.97983
117,2022-10-06 23:50:00,0.98121,0.97899
118,2022-10-06 23:55:00,0.98094,0.97922
119,2022-10-07 00:00:00,0.98097,0.97891
120,2022-10-07 00:05:00,0.98072,0.97841
121,2022-10-07 00:10:00,0.98075,0.97821
122,2022-10-07 00:15:00,0.98066,0.97844
123,2022-10-07 00:20:00,0.98039,0.97872
124,2022-10-07 00:25:00,0.9799,0.97881
125,2022-10-07 00:30:00,0.97976,0.979
126,2022-10-07 00:35:00,0.97924,0.9792
127,2022-10-07 00:40:00,0.97949,0.97896
128,2022-10-07 00:45:00,0.97934,0.9796
129,2022-10-07 00:50:00,0.97919,0.9794
130,2022-10-07 00:55:00,0.97936,0.97916
131,2022-10-07 01:00:00,0.97967,0.97975
132,2022-10-07 01:05:00,0.9798,0.97984
133,2022-10-07 01:10:00,0.97956,0.97988
134,2022-10-07 01:15:00,0.97941,0.97956
135,2022-10-07 01:20:00,0.97972,0.97981
136,2022-10-07 01:25:00,0.97968,0.97936
137,2022-10-07 01:30:00,0.97981,0.9794
138,2022-10-07 01:35:00,0.97965,0.97934
139,2022-10-07 01:40:00,0.97983,0.97934
140,2022-10-07 01:45:00,0.98001,0.97956
141,2022-10-07 01:50:00,0.97987,0.9795
142,2022-10-07 01:55:00,0.9798,0.97946
143,2022-10-07 02:00:00,0.97978,0.97943
144,2022-10-07 02:05:00,0.97945,0.97926
145,2022-10-07 02:10:00,0.97925,0.97877
146,2022-10-07 02:15:00,0.97921,0.97876
147,2022-10-07 02:20:00,0.97921,0.9795
148,2022-10-07 02:25:00,0.97922,0.97954
149,2022-10-07 02:30:00,0.97909,0.97949
150,2022-10-07 02:35:00,0.97911,0.98025
151,2022-10-07 02:40:00,0.97865,0.97965
152,2022-10-07 02:45:00,0.9786,0.97938
153,2022-10-07 02:50:00,0.97883,0.97886
154,2022-10-07 02:55:00,0.97886,0.97847
155,2022-10-07 03:00:00,0.97889,0.97861
156,2022-10-07 03:05:00,0.97894,0.97923
157,2022-10-07 03:10:00,0.97899,0.97944
158,2022-10-07 03:15:00,0.97902,0.97892
159,2022-10-07 03:20:00,0.97912,0.97885
160,2022-10-07 03:25:00,0.97911,0.97927
161,2022-10-07 03:30:00,0.97913,0.97944
162,2022-10-07 03:35:00,0.97948,0.97953
163,2022-10-07 03:40:00,0.97926,0.97966
164,2022-10-07 03:45:00,0.97966,0.97923
165,2022-10-07 03:50:00,0.97942,0.97915
166,2022-10-07 03:55:00,0.9797,0.97928
167,2022-10-07 04:00:00,0.9792,0.97991
168,2022-10-07 04:05:00,0.9793,0.97942
169,2022-10-07 04:10:00,0.97938,0.97937
170,2022-10-07 04:15:00,0.97935,0.97926
171,2022-10-07 04:20:00,0.97947,0.9789
172,2022-10-07 04:25:00,0.97939,0.97916
173,2022-10-07 04:30:00,0.97943,0.97964
174,2022-10-07 04:35:00,0.97927,0.97893
175,2022-10-07 04:40:00,0.97912,0.97921
176,2022-10-07 04:45:00,0.97895,0.97965
177,2022-10-07 04:50:00,0.97905,0.97956
178,2022-10-07 04:55:00,0.97921,0.97902
179,2022-10-07 05:00:00,0.9795,0.97965
180,2022-10-07 05:05:00,0.97955,0.97954
181,2022-10-07 05:10:00,0.97959,0.97971
182,2022-10-07 05:15:00,0.97956,0.97976
183,2022-10-07 05:20:00,0.97931,0.98025
184,2022-10-07 05:25:00,0.97879,0.98079
185,2022-10-07 05:30:00,0.97862,0.98016
186,2022-10-07 05:35:00,0.97887,0.97998
187,2022-10-07 05:40:00,0.97927,0.98053
188,2022-10-07 05:45:00,0.97915,0.98076
189,2022-10-07 05:50:00,0.9789,0.98115
190,2022-10-07 05:55:00,0.97894,0.981
191,2022-10-07 06:00:00,0.9794,0.98109
192,2022-10-07 06:05:00,0.97939,0.98102
193,2022-10-07 06:10:00,0.97937,0.98099
194,2022-10-07 06:15:00,0.97931,0.98106
195,2022-10-07 06:20:00,0.97913,0.98108
196,2022-10-07 06:25:00,0.97896,0.98108
