Time,Actual,Predict
2022-10-27 14:05:00,1.00669,1.00375
2022-10-27 14:10:00,1.00696,1.00365
2022-10-27 14:15:00,1.00646,1.00398
2022-10-27 14:20:00,1.00616,1.00420
2022-10-27 14:25:00,1.00645,1.00503
2022-10-27 14:30:00,1.00593,1.00506
2022-10-27 14:35:00,1.00602,1.00477
2022-10-27 14:40:00,1.00587,1.00473
2022-10-27 14:45:00,1.00536,1.00501
2022-10-27 14:50:00,1.00500,1.00491
2022-10-27 14:55:00,1.00480,1.00465
2022-10-27 15:00:00,1.00469,1.00512
2022-10-27 15:05:00,1.00470,1.00463
2022-10-27 15:10:00,1.00424,1.00429
2022-10-27 15:15:00,1.00349,1.00367
2022-10-27 15:20:00,1.00330,1.00297
2022-10-27 15:25:00,1.00346,1.00284
2022-10-27 15:30:00,1.00373,1.00115
2022-10-27 15:35:00,1.00381,1.00104
2022-10-27 15:40:00,1.00419,1.00160
2022-10-27 15:45:00,1.00430,1.00232
2022-10-27 15:50:00,1.00455,1.00300
2022-10-27 15:55:00,1.00451,1.00265
2022-10-27 16:00:00,1.00375,1.00216
2022-10-27 16:05:00,1.00336,1.00230
2022-10-27 16:10:00,1.00375,1.00097
2022-10-27 16:15:00,1.00378,1.00049
2022-10-27 16:20:00,1.00315,0.99988
2022-10-27 16:25:00,1.00341,1.00087
2022-10-27 16:30:00,1.00365,0.99989
2022-10-27 16:35:00,1.00361,1.00024
2022-10-27 16:40:00,1.00351,1.00286
2022-10-27 16:45:00,1.00381,1.00301
2022-10-27 16:50:00,1.00402,1.00198
2022-10-27 16:55:00,1.00455,1.00172
2022-10-27 17:00:00,1.00472,1.00080
2022-10-27 17:05:00,1.00492,1.00241
2022-10-27 17:10:00,1.00457,1.00248
2022-10-27 17:15:00,1.00472,1.00335
2022-10-27 17:20:00,1.00482,1.00324
2022-10-27 17:25:00,1.00452,1.00410
2022-10-27 17:30:00,1.00436,1.00464
2022-10-27 17:35:00,1.00499,1.00429
2022-10-27 17:40:00,1.00423,1.00529
2022-10-27 17:45:00,1.00332,1.00328
2022-10-27 17:50:00,1.00357,1.00246
2022-10-27 17:55:00,1.00233,1.00167
2022-10-27 18:00:00,1.00100,1.00203
2022-10-27 18:05:00,0.99988,1.00149
2022-10-27 18:10:00,1.00058,1.00158
2022-10-27 18:15:00,1.00120,1.00251
2022-10-27 18:20:00,1.00213,1.00093
2022-10-27 18:25:00,1.00189,1.00103
2022-10-27 18:30:00,1.00014,1.00095
2022-10-27 18:35:00,1.00061,1.00074
2022-10-27 18:40:00,1.00016,0.99974
2022-10-27 18:45:00,0.99951,0.99933
2022-10-27 18:50:00,0.99750,0.99942
2022-10-27 18:55:00,0.99928,0.99910
2022-10-27 19:00:00,0.99868,0.99915
2022-10-27 19:05:00,0.99930,0.99966
2022-10-27 19:10:00,1.00026,0.99916
2022-10-27 19:15:00,1.00207,0.99935
2022-10-27 19:20:00,1.00195,0.99906
2022-10-27 19:25:00,1.00093,0.99852
2022-10-27 19:30:00,1.00075,0.99814
2022-10-27 19:35:00,1.00058,0.99835
2022-10-27 19:40:00,1.00203,0.99880
2022-10-27 19:45:00,1.00216,0.99835
2022-10-27 19:50:00,1.00306,0.99818
2022-10-27 19:55:00,1.00293,0.99803
2022-10-27 20:00:00,1.00379,0.99786
2022-10-27 20:05:00,1.00428,0.99845
2022-10-27 20:10:00,1.00332,0.99880
2022-10-27 20:15:00,1.00271,0.99938
2022-10-27 20:20:00,1.00159,0.99937
2022-10-27 20:25:00,1.00015,0.99920
2022-10-27 20:30:00,0.99993,0.99987
2022-10-27 20:35:00,0.99981,0.99894
2022-10-27 20:40:00,1.00018,1.00001
2022-10-27 20:45:00,1.00069,0.99840
2022-10-27 20:50:00,1.00060,0.99820
2022-10-27 20:55:00,0.99975,0.99812
2022-10-27 21:00:00,1.00070,0.99757
2022-10-27 21:05:00,1.00068,0.99845
2022-10-27 21:10:00,0.99975,0.99735
2022-10-27 21:15:00,0.99858,0.99666
2022-10-27 21:20:00,0.99822,0.99724
2022-10-27 21:25:00,0.99877,0.99628
2022-10-27 21:30:00,0.99846,0.99619
2022-10-27 21:35:00,0.99839,0.99575
2022-10-27 21:40:00,0.99841,0.99673
2022-10-27 21:45:00,0.99868,0.99733
2022-10-27 21:50:00,0.99866,0.99665
2022-10-27 21:55:00,0.99796,0.99788
2022-10-27 22:00:00,0.99784,0.99693
2022-10-27 22:05:00,0.99744,0.99704
2022-10-27 22:10:00,0.99770,0.99598
2022-10-27 22:15:00,0.99778,0.99666
2022-10-27 22:20:00,0.99792,0.99699
2022-10-27 22:25:00,0.99778,0.99784
2022-10-27 22:30:00,0.99742,0.99864
2022-10-27 22:35:00,0.99779,0.99766
2022-10-27 22:40:00,0.99814,0.99790
2022-10-27 22:45:00,0.99878,0.99766
2022-10-27 22:50:00,0.99897,0.99735
2022-10-27 22:55:00,0.99947,0.99760
2022-10-27 23:00:00,0.99888,0.99723
2022-10-27 23:05:00,0.99890,0.99894
2022-10-27 23:10:00,0.99822,0.99847
2022-10-27 23:15:00,0.99787,0.99629
2022-10-27 23:20:00,0.99761,0.99711
