Time,Actual,Predict
2022-11-04 14:05:00,0.97843,0.97902
2022-11-04 14:10:00,0.97885,0.97920
2022-11-04 14:15:00,0.97885,0.97908
2022-11-04 14:20:00,0.97836,0.97870
2022-11-04 14:25:00,0.97831,0.97812
2022-11-04 14:30:00,0.97778,0.97841
2022-11-04 14:35:00,0.97755,0.97740
2022-11-04 14:40:00,0.97788,0.97900
2022-11-04 14:45:00,0.97778,0.97907
2022-11-04 14:50:00,0.97794,0.98037
2022-11-04 14:55:00,0.97804,0.98114
2022-11-04 15:00:00,0.97848,0.98271
2022-11-04 15:05:00,0.97809,0.98457
2022-11-04 15:10:00,0.97859,0.98495
2022-11-04 15:15:00,0.97946,0.98547
2022-11-04 15:20:00,0.97891,0.98602
2022-11-04 15:25:00,0.97911,0.98540
2022-11-04 15:30:00,0.97919,0.98612
2022-11-04 15:35:00,0.97918,0.98591
2022-11-04 15:40:00,0.97908,0.98574
2022-11-04 15:45:00,0.97923,0.98534
2022-11-04 15:50:00,0.98052,0.98493
2022-11-04 15:55:00,0.98021,0.98435
2022-11-04 16:00:00,0.97999,0.98546
2022-11-04 16:05:00,0.97994,0.98581
2022-11-04 16:10:00,0.98005,0.98695
2022-11-04 16:15:00,0.98016,0.98782
2022-11-04 16:20:00,0.97969,0.98902
2022-11-04 16:25:00,0.97958,0.99010
2022-11-04 16:30:00,0.98029,0.99071
2022-11-04 16:35:00,0.97972,0.99147
2022-11-04 16:40:00,0.97947,0.99162
2022-11-04 16:45:00,0.97991,0.99222
2022-11-04 16:50:00,0.97931,0.99256
2022-11-04 16:55:00,0.97923,0.99122
2022-11-04 17:00:00,0.97851,0.99190
2022-11-04 17:05:00,0.97895,0.99079
2022-11-04 17:10:00,0.97784,0.99138
2022-11-04 17:15:00,0.97999,0.99087
2022-11-04 17:20:00,0.98011,0.99086
2022-11-04 17:25:00,0.98190,0.99124
2022-11-04 17:30:00,0.98227,0.99034
2022-11-04 17:35:00,0.98472,0.98983
2022-11-04 17:40:00,0.98645,0.98977
2022-11-04 17:45:00,0.98644,0.98919
2022-11-04 17:50:00,0.98718,0.98908
2022-11-04 17:55:00,0.98698,0.98874
2022-11-04 18:00:00,0.98611,0.98803
2022-11-04 18:05:00,0.98705,0.98807
2022-11-04 18:10:00,0.98691,0.98928
2022-11-04 18:15:00,0.98664,0.98931
2022-11-04 18:20:00,0.98529,0.98918
2022-11-04 18:25:00,0.98485,0.99005
2022-11-04 18:30:00,0.98507,0.99019
2022-11-04 18:35:00,0.98667,0.99010
2022-11-04 18:40:00,0.98694,0.99028
2022-11-04 18:45:00,0.98881,0.98974
2022-11-04 18:50:00,0.99014,0.99038
2022-11-04 18:55:00,0.99074,0.99011
2022-11-04 19:00:00,0.99244,0.99028
2022-11-04 19:05:00,0.99226,0.99061
2022-11-04 19:10:00,0.99298,0.99039
2022-11-04 19:15:00,0.99301,0.99086
2022-11-04 19:20:00,0.99310,0.99106
2022-11-04 19:25:00,0.99362,0.99140
2022-11-04 19:30:00,0.99245,0.99131
2022-11-04 19:35:00,0.99294,0.99097
2022-11-04 19:40:00,0.99229,0.99101
2022-11-04 19:45:00,0.99145,0.99119
2022-11-04 19:50:00,0.99209,0.99140
2022-11-04 19:55:00,0.99143,0.99139
2022-11-04 20:00:00,0.99168,0.99140
2022-11-04 20:05:00,0.98978,0.99111
2022-11-04 20:10:00,0.99049,0.99087
2022-11-04 20:15:00,0.98979,0.99086
2022-11-04 20:20:00,0.98959,0.99127
2022-11-04 20:25:00,0.99018,0.99148
2022-11-04 20:30:00,0.98904,0.99213
2022-11-04 20:35:00,0.98954,0.99259
2022-11-04 20:40:00,0.98904,0.99272
2022-11-04 20:45:00,0.99036,0.99305
2022-11-04 20:50:00,0.99024,0.99314
2022-11-04 20:55:00,0.99109,0.99335
2022-11-04 21:00:00,0.99128,0.99408
2022-11-04 21:05:00,0.99124,0.99416
2022-11-04 21:10:00,0.99158,0.99452
2022-11-04 21:15:00,0.99122,0.99520
2022-11-04 21:20:00,0.99093,0.99577
2022-11-04 21:25:00,0.99075,0.99515
2022-11-04 21:30:00,0.99128,0.99516
2022-11-04 21:35:00,0.99151,0.99543
2022-11-04 21:40:00,0.99188,0.99598
2022-11-04 21:45:00,0.99155,0.99608
2022-11-04 21:50:00,0.99220,0.99622
2022-11-04 21:55:00,0.99247,0.99633
2022-11-04 22:00:00,0.99254,0.99622
2022-11-04 22:05:00,0.99207,0.99616
2022-11-04 22:10:00,0.99182,0.99624
2022-11-04 22:15:00,0.99191,0.99632
2022-11-04 22:20:00,0.99197,0.99640
2022-11-04 22:25:00,0.99201,0.99631
2022-11-04 22:30:00,0.99200,0.99653
2022-11-04 22:35:00,0.99233,0.99620
2022-11-04 22:40:00,0.99190,0.99614
2022-11-04 22:45:00,0.99165,0.99612
2022-11-04 22:50:00,0.99173,0.99614
2022-11-04 22:55:00,0.99203,0.99607
2022-11-07 00:05:00,0.99258,0.99127
2022-11-07 00:10:00,0.99333,0.99142
2022-11-07 00:15:00,0.99363,0.99121
2022-11-07 00:20:00,0.99366,0.99120
2022-11-07 00:25:00,0.99418,0.99088
2022-11-07 00:30:00,0.99385,0.99072
2022-11-07 00:35:00,0.99431,0.99078
2022-11-07 00:40:00,0.99486,0.99101
2022-11-07 00:45:00,0.99462,0.99160
2022-11-07 00:50:00,0.99526,0.99196
2022-11-07 00:55:00,0.99579,0.99204
2022-11-07 01:00:00,0.99594,0.99183
2022-11-07 01:05:00,0.99531,0.99237
2022-11-07 01:10:00,0.99552,0.99226
2022-11-07 01:15:00,0.99565,0.99339
2022-11-07 01:20:00,0.99619,0.99387
2022-11-07 01:25:00,0.99624,0.99401
2022-11-07 01:30:00,0.99626,0.99367
2022-11-07 01:35:00,0.99621,0.99337
2022-11-07 01:40:00,0.99608,0.99341
2022-11-07 01:45:00,0.99606,0.99350
2022-11-07 01:50:00,0.99618,0.99354
2022-11-07 01:55:00,0.99616,0.99349
2022-11-07 02:00:00,0.99617,0.99326
2022-11-07 02:05:00,0.99620,0.99393
2022-11-07 02:10:00,0.99628,0.99455
2022-11-07 02:15:00,0.99589,0.99446
2022-11-07 02:20:00,0.99576,0.99447
2022-11-07 02:25:00,0.99593,0.99418
2022-11-07 02:30:00,0.99593,0.99388
2022-11-07 02:35:00,0.99594,0.99383
2022-11-07 02:40:00,0.99073,0.99392
2022-11-07 02:45:00,0.99115,0.99423
2022-11-07 02:50:00,0.99127,0.99441
2022-11-07 02:55:00,0.99133,0.99403
2022-11-07 03:00:00,0.99106,0.99395
2022-11-07 03:05:00,0.99107,0.99387
2022-11-07 03:10:00,0.99128,0.99367
2022-11-07 03:15:00,0.99160,0.99338
2022-11-07 03:20:00,0.99253,0.99295
2022-11-07 03:25:00,0.99247,0.99281
2022-11-07 03:30:00,0.99247,0.99255
2022-11-07 03:35:00,0.99215,0.99314
2022-11-07 03:40:00,0.99259,0.99378
2022-11-07 03:45:00,0.99243,0.99416
2022-11-07 03:50:00,0.99405,0.99410
2022-11-07 03:55:00,0.99390,0.99379
2022-11-07 04:00:00,0.99370,0.99338
2022-11-07 04:05:00,0.99313,0.99406
2022-11-07 04:10:00,0.99297,0.99347
2022-11-07 04:15:00,0.99316,0.99404
2022-11-07 04:20:00,0.99320,0.99389
2022-11-07 04:25:00,0.99318,0.99392
2022-11-07 04:30:00,0.99295,0.99384
2022-11-07 04:35:00,0.99281,0.99392
2022-11-07 04:40:00,0.99372,0.99401
2022-11-07 04:45:00,0.99442,0.99414
2022-11-07 04:50:00,0.99408,0.99427
2022-11-07 04:55:00,0.99390,0.99443
2022-11-07 05:00:00,0.99339,0.99451
2022-11-07 05:05:00,0.99306,0.99357
2022-11-07 05:10:00,0.99326,0.99373
2022-11-07 05:15:00,0.99316,0.99430
2022-11-07 05:20:00,0.99364,0.99455
2022-11-07 05:25:00,0.99364,0.99474
2022-11-07 05:30:00,0.99324,0.99491
2022-11-07 05:35:00,0.99327,0.99498
2022-11-07 05:40:00,0.99321,0.99525
2022-11-07 05:45:00,0.99288,0.99532
2022-11-07 05:50:00,0.99268,0.99519
2022-11-07 05:55:00,0.99223,0.99534
2022-11-07 06:00:00,0.99210,0.99498
2022-11-07 06:05:00,0.99217,0.99471
2022-11-07 06:10:00,0.99271,0.99478
2022-11-07 06:15:00,0.99364,0.99507
2022-11-07 06:20:00,0.99345,0.99492
2022-11-07 06:25:00,0.99333,0.99526
2022-11-07 06:30:00,0.99287,0.99488
2022-11-07 06:35:00,0.99304,0.99476
2022-11-07 06:40:00,0.99312,0.99496
2022-11-07 06:45:00,0.99316,0.99498
2022-11-07 06:50:00,0.99291,0.99508
2022-11-07 06:55:00,0.99325,0.99492
2022-11-07 07:00:00,0.99321,0.99495
2022-11-07 07:05:00,0.99331,0.99525
2022-11-07 07:10:00,0.99322,0.99516
2022-11-07 07:15:00,0.99371,0.99490
2022-11-07 07:20:00,0.99347,0.99494
2022-11-07 07:25:00,0.99334,0.99551
2022-11-07 07:30:00,0.99358,0.99552
2022-11-07 07:35:00,0.99376,0.99624
2022-11-07 07:40:00,0.99303,0.99606
2022-11-07 07:45:00,0.99295,0.99618
2022-11-07 07:50:00,0.99350,0.99586
2022-11-07 07:55:00,0.99389,0.99558
2022-11-07 08:00:00,0.99386,0.99533
2022-11-07 08:05:00,0.99399,0.99520
2022-11-07 08:10:00,0.99392,0.99513
2022-11-07 08:15:00,0.99431,0.99537
2022-11-07 08:20:00,0.99442,0.99539
2022-11-07 08:25:00,0.99419,0.99521
2022-11-07 08:30:00,0.99409,0.99521
2022-11-07 08:35:00,0.99376,0.99515
2022-11-07 08:40:00,0.99378,0.99508
2022-11-07 08:45:00,0.99385,0.99537
2022-11-07 08:50:00,0.99383,0.99502
2022-11-07 08:55:00,0.99397,0.99503
2022-11-07 09:00:00,0.99430,0.99460
2022-11-07 09:05:00,0.99381,0.99441
2022-11-07 09:10:00,0.99391,0.99476
2022-11-07 09:15:00,0.99400,0.99435
2022-11-07 09:20:00,0.99406,0.99424
2022-11-07 09:25:00,0.99409,0.99374
2022-11-07 09:30:00,0.99409,0.99316
2022-11-07 09:35:00,0.99391,0.99280
2022-11-07 09:40:00,0.99443,0.99267
2022-11-07 09:45:00,0.99410,0.99282
2022-11-07 09:50:00,0.99399,0.99268
2022-11-07 09:55:00,0.99407,0.99260
2022-11-07 10:00:00,0.99441,0.99270
2022-11-07 10:05:00,0.99457,0.99318
2022-11-07 10:10:00,0.99518,0.99372
2022-11-07 10:15:00,0.99493,0.99485
2022-11-07 10:20:00,0.99492,0.99597
2022-11-07 10:25:00,0.99468,0.99570
2022-11-07 10:30:00,0.99446,0.99589
2022-11-07 10:35:00,0.99445,0.99695
2022-11-07 10:40:00,0.99456,0.99751
2022-11-07 10:45:00,0.99415,0.99783
2022-11-07 10:50:00,0.99457,0.99729
2022-11-07 10:55:00,0.99448,0.99850
2022-11-07 11:00:00,0.99444,0.99914
2022-11-07 11:05:00,0.99462,0.99964
2022-11-07 11:10:00,0.99435,1.00030
2022-11-07 11:15:00,0.99444,1.00035
2022-11-07 11:20:00,0.99439,1.00067
2022-11-07 11:25:00,0.99433,1.00033
2022-11-07 11:30:00,0.99424,0.99977
2022-11-07 11:35:00,0.99397,0.99927
2022-11-07 11:40:00,0.99392,0.99925
2022-11-07 11:45:00,0.99437,0.99915
2022-11-07 11:50:00,0.99385,0.99882
2022-11-07 11:55:00,0.99374,0.99875
2022-11-07 12:00:00,0.99325,0.99872
2022-11-07 12:05:00,0.99306,0.99850
2022-11-07 12:10:00,0.99260,0.99846
2022-11-07 12:15:00,0.99266,0.99865
2022-11-07 12:20:00,0.99284,0.99877
2022-11-07 12:25:00,0.99273,0.99895
2022-11-07 12:30:00,0.99271,0.99912
2022-11-07 12:35:00,0.99280,0.99875
2022-11-07 12:40:00,0.99317,0.99848
2022-11-07 12:45:00,0.99377,0.99862
2022-11-07 12:50:00,0.99486,0.99861
2022-11-07 12:55:00,0.99624,0.99832
2022-11-07 13:00:00,0.99516,0.99809
2022-11-07 13:05:00,0.99590,0.99831
2022-11-07 13:10:00,0.99672,0.99815
2022-11-07 13:15:00,0.99789,0.99758
2022-11-07 13:20:00,0.99746,0.99761
2022-11-07 13:25:00,0.99687,0.99769
2022-11-07 13:30:00,0.99892,0.99795
2022-11-07 13:35:00,0.99866,0.99803
2022-11-07 13:40:00,0.99957,0.99793
2022-11-07 13:45:00,1.00011,0.99797
2022-11-07 13:50:00,0.99986,0.99785
2022-11-07 13:55:00,1.00015,0.99741
2022-11-07 14:00:00,0.99940,0.99756
2022-11-07 14:05:00,0.99911,0.99763
2022-11-07 14:10:00,0.99816,0.99747
2022-11-07 14:15:00,0.99848,0.99735
2022-11-07 14:20:00,0.99891,0.99741
2022-11-07 14:25:00,0.99824,0.99676
2022-11-07 14:30:00,0.99860,0.99638
2022-11-07 14:35:00,0.99856,0.99657
2022-11-07 14:40:00,0.99869,0.99674
2022-11-07 14:45:00,0.99861,0.99672
2022-11-07 14:50:00,0.99900,0.99718
2022-11-07 14:55:00,0.99874,0.99701
2022-11-07 15:00:00,0.99942,0.99752
2022-11-07 15:05:00,0.99926,0.99820
2022-11-07 15:10:00,0.99858,0.99816
2022-11-07 15:15:00,0.99829,0.99830
2022-11-07 15:20:00,0.99895,0.99862
2022-11-07 15:25:00,0.99865,0.99805
2022-11-07 15:30:00,0.99825,0.99785
2022-11-07 15:35:00,0.99818,0.99775
2022-11-07 15:40:00,0.99856,0.99794
2022-11-07 15:45:00,0.99814,0.99788
2022-11-07 15:50:00,0.99775,0.99809
2022-11-07 15:55:00,0.99815,0.99737
2022-11-07 16:00:00,0.99826,0.99823
2022-11-07 16:05:00,0.99850,0.99958
2022-11-07 16:10:00,0.99864,0.99900
2022-11-07 16:15:00,0.99826,0.99932
2022-11-07 16:20:00,0.99865,0.99948
2022-11-07 16:25:00,0.99816,0.99925
2022-11-07 16:30:00,0.99757,0.99886
2022-11-07 16:35:00,0.99813,0.99922
2022-11-07 16:40:00,0.99807,0.99874
2022-11-07 16:45:00,0.99791,0.99873
2022-11-07 16:50:00,0.99781,0.99853
2022-11-07 16:55:00,0.99788,0.99825
2022-11-07 17:00:00,0.99670,0.99931
2022-11-07 17:05:00,0.99685,1.00047
2022-11-07 17:10:00,0.99711,0.99883
2022-11-07 17:15:00,0.99745,0.99898
2022-11-07 17:20:00,0.99746,0.99914
2022-11-07 17:25:00,0.99804,0.99854
2022-11-07 17:30:00,0.99742,0.99853
2022-11-07 17:35:00,0.99873,0.99849
2022-11-07 17:40:00,0.99921,0.99831
2022-11-07 17:45:00,0.99842,0.99794
2022-11-07 17:50:00,0.99927,0.99811
2022-11-07 17:55:00,0.99935,0.99924
2022-11-07 18:00:00,0.99817,0.99927
2022-11-07 18:05:00,0.99839,0.99886
2022-11-07 18:10:00,0.99818,0.99877
2022-11-07 18:15:00,0.99854,0.99909
2022-11-07 18:20:00,0.99797,0.99978
2022-11-07 18:25:00,0.99778,1.00017
2022-11-07 18:30:00,0.99785,0.99941
2022-11-07 18:35:00,0.99940,0.99987
2022-11-07 18:40:00,0.99947,1.00001
2022-11-07 18:45:00,0.99982,0.99977
2022-11-07 18:50:00,1.00000,0.99915
2022-11-07 18:55:00,1.00025,0.99942
2022-11-07 19:00:00,0.99974,0.99952
2022-11-07 19:05:00,0.99927,0.99961
2022-11-07 19:10:00,0.99995,1.00059
2022-11-07 19:15:00,0.99891,1.00123
2022-11-07 19:20:00,0.99913,1.00119
2022-11-07 19:25:00,0.99887,1.00181
2022-11-07 19:30:00,0.99867,1.00203
2022-11-07 19:35:00,0.99886,1.00221
2022-11-07 19:40:00,0.99930,1.00151
2022-11-07 19:45:00,0.99940,1.00198
2022-11-07 19:50:00,0.99964,1.00184
2022-11-07 19:55:00,0.99990,1.00375
2022-11-07 20:00:00,0.99869,1.00217
2022-11-07 20:05:00,0.99910,1.00205
2022-11-07 20:10:00,0.99884,1.00351
2022-11-07 20:15:00,0.99889,1.00213
2022-11-07 20:20:00,0.99854,1.00301
2022-11-07 20:25:00,0.99873,1.00383
2022-11-07 20:30:00,0.99981,1.00318
2022-11-07 20:35:00,1.00012,1.00381
2022-11-07 20:40:00,0.99923,1.00352
2022-11-07 20:45:00,0.99930,1.00296
2022-11-07 20:50:00,0.99947,1.00229
2022-11-07 20:55:00,0.99994,1.00235
2022-11-07 21:00:00,0.99986,1.00374
2022-11-07 21:05:00,0.99986,1.00354
2022-11-07 21:10:00,1.00018,1.00395
2022-11-07 21:15:00,0.99968,1.00360
2022-11-07 21:20:00,0.99912,1.00399
2022-11-07 21:25:00,0.99935,1.00329
2022-11-07 21:30:00,0.99962,1.00352
2022-11-07 21:35:00,0.99969,1.00331
2022-11-07 21:40:00,1.00005,1.00355
2022-11-07 21:45:00,1.00192,1.00318
2022-11-07 21:50:00,1.00177,1.00299
2022-11-07 21:55:00,1.00171,1.00306
2022-11-07 22:00:00,1.00240,1.00310
2022-11-07 22:05:00,1.00240,1.00309
2022-11-07 22:10:00,1.00236,1.00246
2022-11-07 22:15:00,1.00194,1.00312
2022-11-07 22:20:00,1.00204,1.00277
2022-11-07 22:25:00,1.00199,1.00293
2022-11-07 22:30:00,1.00219,1.00281
2022-11-07 22:35:00,1.00219,1.00292
2022-11-07 22:40:00,1.00208,1.00230
2022-11-07 22:45:00,1.00224,1.00258
2022-11-07 22:50:00,1.00210,1.00254
2022-11-07 22:55:00,1.00240,1.00217
2022-11-07 23:00:00,1.00249,1.00165
2022-11-07 23:05:00,1.00277,1.00216
2022-11-07 23:10:00,1.00273,1.00260
2022-11-07 23:15:00,1.00262,1.00222
2022-11-07 23:20:00,1.00248,1.00194
2022-11-07 23:25:00,1.00264,1.00244
2022-11-07 23:30:00,1.00270,1.00207
2022-11-07 23:35:00,1.00310,1.00198
2022-11-07 23:40:00,1.00298,1.00165
2022-11-07 23:45:00,1.00292,1.00182
2022-11-07 23:50:00,1.00299,1.00216
2022-11-07 23:55:00,1.00317,1.00196
2022-11-08 00:00:00,1.00327,1.00247
2022-11-08 00:05:00,1.00294,1.00112
2022-11-08 00:10:00,1.00299,1.00110
2022-11-08 00:15:00,1.00315,1.00145
2022-11-08 00:20:00,1.00289,1.00145
2022-11-08 00:25:00,1.00290,1.00161
2022-11-08 00:30:00,1.00288,1.00233
2022-11-08 00:35:00,1.00264,1.00225
2022-11-08 00:40:00,1.00283,1.00212
2022-11-08 00:45:00,1.00296,1.00158
2022-11-08 00:50:00,1.00303,1.00235
2022-11-08 00:55:00,1.00277,1.00144
2022-11-08 01:00:00,1.00277,1.00211
2022-11-08 01:05:00,1.00271,1.00202
2022-11-08 01:10:00,1.00264,1.00189
2022-11-08 01:15:00,1.00245,1.00259
2022-11-08 01:20:00,1.00260,1.00207
2022-11-08 01:25:00,1.00240,1.00215
2022-11-08 01:30:00,1.00236,1.00178
2022-11-08 01:35:00,1.00207,1.00171
2022-11-08 01:40:00,1.00232,1.00195
2022-11-08 01:45:00,1.00241,1.00111
2022-11-08 01:50:00,1.00225,1.00299
2022-11-08 01:55:00,1.00227,1.00223
2022-11-08 02:00:00,1.00227,1.00208
2022-11-08 02:05:00,1.00223,1.00217
2022-11-08 02:10:00,1.00216,1.00187
2022-11-08 02:15:00,1.00218,1.00137
2022-11-08 02:20:00,1.00203,1.00212
2022-11-08 02:25:00,1.00205,1.00223
2022-11-08 02:30:00,1.00207,1.00272
2022-11-08 02:35:00,1.00217,1.00309
2022-11-08 02:40:00,1.00159,1.00416
2022-11-08 02:45:00,1.00159,1.00358
2022-11-08 02:50:00,1.00171,1.00333
2022-11-08 02:55:00,1.00150,1.00369
2022-11-08 03:00:00,1.00187,1.00426
2022-11-08 03:05:00,1.00176,1.00318
2022-11-08 03:10:00,1.00183,1.00263
2022-11-08 03:15:00,1.00180,1.00273
2022-11-08 03:20:00,1.00161,1.00308
2022-11-08 03:25:00,1.00164,1.00265
2022-11-08 03:30:00,1.00169,1.00187
2022-11-08 03:35:00,1.00180,1.00210
2022-11-08 03:40:00,1.00179,1.00214
2022-11-08 03:45:00,1.00193,1.00213
2022-11-08 03:50:00,1.00215,1.00165
2022-11-08 03:55:00,1.00183,1.00176
2022-11-08 04:00:00,1.00180,1.00202
2022-11-08 04:05:00,1.00180,1.00157
2022-11-08 04:10:00,1.00163,1.00150
2022-11-08 04:15:00,1.00166,1.00153
2022-11-08 04:20:00,1.00180,1.00173
2022-11-08 04:25:00,1.00200,1.00203
2022-11-08 04:30:00,1.00194,1.00232
2022-11-08 04:35:00,1.00174,1.00183
2022-11-08 04:40:00,1.00174,1.00191
2022-11-08 04:45:00,1.00169,1.00195
2022-11-08 04:50:00,1.00174,1.00199
2022-11-08 04:55:00,1.00186,1.00176
2022-11-08 05:00:00,1.00211,1.00122
2022-11-08 05:05:00,1.00213,1.00092
2022-11-08 05:10:00,1.00287,1.00144
2022-11-08 05:15:00,1.00290,1.00154
2022-11-08 05:20:00,1.00310,1.00182
2022-11-08 05:25:00,1.00254,1.00185
2022-11-08 05:30:00,1.00261,1.00172
2022-11-08 05:35:00,1.00272,1.00199
2022-11-08 05:40:00,1.00212,1.00228
2022-11-08 05:45:00,1.00199,1.00199
2022-11-08 05:50:00,1.00192,1.00198
2022-11-08 05:55:00,1.00215,1.00220
2022-11-08 06:00:00,1.00164,1.00202
2022-11-08 06:05:00,1.00166,1.00200
2022-11-08 06:10:00,1.00156,1.00188
2022-11-08 06:15:00,1.00158,1.00196
2022-11-08 06:20:00,1.00152,1.00189
2022-11-08 06:25:00,1.00122,1.00154
2022-11-08 06:30:00,1.00126,1.00137
2022-11-08 06:35:00,1.00141,1.00124
2022-11-08 06:40:00,1.00125,1.00106
2022-11-08 06:45:00,1.00109,1.00087
2022-11-08 06:50:00,1.00109,1.00066
2022-11-08 06:55:00,1.00113,1.00043
2022-11-08 07:00:00,1.00146,1.00061
2022-11-08 07:05:00,1.00140,1.00061
2022-11-08 07:10:00,1.00119,1.00047
2022-11-08 07:15:00,1.00120,1.00017
2022-11-08 07:20:00,1.00132,1.00056
2022-11-08 07:25:00,1.00131,1.00047
2022-11-08 07:30:00,1.00115,1.00065
2022-11-08 07:35:00,1.00078,1.00014
2022-11-08 07:40:00,1.00078,1.00013
2022-11-08 07:45:00,1.00103,1.00053
2022-11-08 07:50:00,1.00107,1.00043
2022-11-08 07:55:00,1.00120,1.00042
2022-11-08 08:00:00,1.00114,1.00043
2022-11-08 08:05:00,1.00115,1.00120
2022-11-08 08:10:00,1.00129,1.00147
2022-11-08 08:15:00,1.00146,1.00079
2022-11-08 08:20:00,1.00129,1.00107
2022-11-08 08:25:00,1.00130,1.00097
2022-11-08 08:30:00,1.00138,1.00076
2022-11-08 08:35:00,1.00132,1.00054
2022-11-08 08:40:00,1.00123,1.00052
2022-11-08 08:45:00,1.00121,1.00107
2022-11-08 08:50:00,1.00124,1.00090
2022-11-08 08:55:00,1.00124,1.00072
2022-11-08 09:00:00,1.00112,1.00105
2022-11-08 09:05:00,1.00103,1.00025
2022-11-08 09:10:00,1.00088,0.99988
2022-11-08 09:15:00,1.00090,0.99936
2022-11-08 09:20:00,1.00073,0.99944
2022-11-08 09:25:00,1.00060,0.99894
2022-11-08 09:30:00,1.00055,0.99972
2022-11-08 09:35:00,1.00059,0.99965
2022-11-08 09:40:00,1.00057,0.99948
2022-11-08 09:45:00,1.00050,0.99979
2022-11-08 09:50:00,1.00021,0.99940
2022-11-08 09:55:00,1.00045,0.99947
2022-11-08 10:00:00,1.00037,1.00040
2022-11-08 10:05:00,1.00045,1.00065
2022-11-08 10:10:00,1.00012,1.00040
2022-11-08 10:15:00,1.00004,1.00026
2022-11-08 10:20:00,1.00041,0.99950
2022-11-08 10:25:00,1.00025,0.99889
2022-11-08 10:30:00,1.00060,0.99908
2022-11-08 10:35:00,0.99957,0.99949
2022-11-08 10:40:00,1.00065,0.99986
2022-11-08 10:45:00,1.00068,1.00034
2022-11-08 10:50:00,1.00043,0.99989
2022-11-08 10:55:00,1.00056,0.99920
2022-11-08 11:00:00,1.00036,0.99881
2022-11-08 11:05:00,1.00004,0.99819
2022-11-08 11:10:00,1.00009,0.99843
2022-11-08 11:15:00,1.00001,0.99845
2022-11-08 11:20:00,1.00052,0.99918
2022-11-08 11:25:00,0.99981,0.99941
2022-11-08 11:30:00,0.99995,0.99954
2022-11-08 11:35:00,0.99991,0.99961
2022-11-08 11:40:00,0.99985,0.99974
2022-11-08 11:45:00,0.99958,0.99972
2022-11-08 11:50:00,0.99893,1.00034
2022-11-08 11:55:00,0.99904,0.99992
2022-11-08 12:00:00,0.99929,1.00038
2022-11-08 12:05:00,0.99964,1.00025
2022-11-08 12:10:00,0.99941,1.00097
2022-11-08 12:15:00,0.99942,1.00086
2022-11-08 12:20:00,0.99965,1.00023
2022-11-08 12:25:00,0.99936,1.00028
2022-11-08 12:30:00,0.99940,1.00028
2022-11-08 12:35:00,0.99995,1.00077
2022-11-08 12:40:00,0.99972,1.00094
2022-11-08 12:45:00,1.00022,1.00051
2022-11-08 12:50:00,0.99964,1.00041
2022-11-08 12:55:00,0.99876,1.00054
2022-11-08 13:00:00,0.99840,1.00052
2022-11-08 13:05:00,0.99894,1.00000
2022-11-08 13:10:00,0.99937,1.00029
2022-11-08 13:15:00,1.00002,1.00087
2022-11-08 13:20:00,0.99976,1.00035
2022-11-08 13:25:00,0.99892,1.00109
2022-11-08 13:30:00,0.99831,1.00072
2022-11-08 13:35:00,0.99827,1.00025
2022-11-08 13:40:00,0.99776,1.00080
2022-11-08 13:45:00,0.99805,1.00026
2022-11-08 13:50:00,0.99833,1.00026
2022-11-08 13:55:00,0.99876,1.00028
2022-11-08 14:00:00,0.99883,1.00001
2022-11-08 14:05:00,0.99906,0.99966
2022-11-08 14:10:00,0.99906,0.99955
2022-11-08 14:15:00,0.99952,0.99923
2022-11-08 14:20:00,0.99993,0.99892
2022-11-08 14:25:00,0.99943,0.99911
2022-11-08 14:30:00,0.99942,0.99907
2022-11-08 14:35:00,1.00035,0.99886
2022-11-08 14:40:00,1.00008,0.99944
