Time,Actual,Predict
2023-01-26 12:05:00,1.09153,1.08973
2023-01-26 12:10:00,1.09220,1.08982
2023-01-26 12:15:00,1.09214,1.08991
2023-01-26 12:20:00,1.09198,1.08986
2023-01-26 12:25:00,1.09164,1.08975
2023-01-26 12:30:00,1.09155,1.08986
2023-01-26 12:35:00,1.09195,1.09034
2023-01-26 12:40:00,1.09134,1.09060
2023-01-26 12:45:00,1.09170,1.09064
2023-01-26 12:50:00,1.09198,1.09074
2023-01-26 12:55:00,1.09240,1.09044
2023-01-26 13:00:00,1.09238,1.09064
2023-01-26 13:05:00,1.09180,1.09052
2023-01-26 13:10:00,1.09178,1.09063
2023-01-26 13:15:00,1.09194,1.09068
2023-01-26 13:20:00,1.09176,1.09054
2023-01-26 13:25:00,1.09121,1.09049
2023-01-26 13:30:00,1.09091,1.09029
2023-01-26 13:35:00,1.09091,1.09018
2023-01-26 13:40:00,1.09089,1.09019
2023-01-26 13:45:00,1.09071,1.09022
2023-01-26 13:50:00,1.09079,1.09012
2023-01-26 13:55:00,1.09069,1.09013
2023-01-26 14:00:00,1.09072,1.09033
2023-01-26 14:05:00,1.08976,1.09009
2023-01-26 14:10:00,1.08986,1.08979
2023-01-26 14:15:00,1.08969,1.08975
2023-01-26 14:20:00,1.08970,1.08929
2023-01-26 14:25:00,1.08965,1.08913
2023-01-26 14:30:00,1.08978,1.08927
2023-01-26 14:35:00,1.08957,1.08919
2023-01-26 14:40:00,1.08976,1.08904
2023-01-26 14:45:00,1.08982,1.08903
2023-01-26 14:50:00,1.08996,1.08932
2023-01-26 14:55:00,1.08980,1.08971
2023-01-26 15:00:00,1.08966,1.08942
2023-01-26 15:05:00,1.08987,1.08932
2023-01-26 15:10:00,1.09051,1.08927
2023-01-26 15:15:00,1.09066,1.08940
2023-01-26 15:20:00,1.09066,1.08939
2023-01-26 15:25:00,1.09041,1.08939
2023-01-26 15:30:00,1.09044,1.08965
2023-01-26 15:35:00,1.09068,1.08897
2023-01-26 15:40:00,1.09030,1.08956
2023-01-26 15:45:00,1.09062,1.08951
2023-01-26 15:50:00,1.09050,1.08995
2023-01-26 15:55:00,1.09042,1.09041
2023-01-26 16:00:00,1.09041,1.09037
2023-01-26 16:05:00,1.09006,1.09056
2023-01-26 16:10:00,1.09017,1.09071
2023-01-26 16:15:00,1.09010,1.09049
2023-01-26 16:20:00,1.09018,1.09084
2023-01-26 16:25:00,1.09001,1.09061
2023-01-26 16:30:00,1.09006,1.09020
2023-01-26 16:35:00,1.09031,1.09029
2023-01-26 16:40:00,1.08988,1.09047
2023-01-26 16:45:00,1.08968,1.09006
2023-01-26 16:50:00,1.08967,1.08948
2023-01-26 16:55:00,1.08916,1.08886
2023-01-26 17:00:00,1.08907,1.08883
2023-01-26 17:05:00,1.08937,1.08892
2023-01-26 17:10:00,1.08922,1.08867
2023-01-26 17:15:00,1.08901,1.08896
2023-01-26 17:20:00,1.08916,1.08928
2023-01-26 17:25:00,1.08951,1.08919
2023-01-26 17:30:00,1.08990,1.08893
2023-01-26 17:35:00,1.08930,1.08837
2023-01-26 17:40:00,1.08933,1.08746
2023-01-26 17:45:00,1.08926,1.08759
2023-01-26 17:50:00,1.08948,1.08729
2023-01-26 17:55:00,1.08939,1.08662
2023-01-26 18:00:00,1.08941,1.08609
2023-01-26 18:05:00,1.08969,1.08629
2023-01-26 18:10:00,1.08909,1.08639
2023-01-26 18:15:00,1.08970,1.08660
2023-01-26 18:20:00,1.08942,1.08659
2023-01-26 18:25:00,1.09027,1.08589
2023-01-26 18:30:00,1.09058,1.08618
2023-01-26 18:35:00,1.09027,1.08618
2023-01-26 18:40:00,1.09081,1.08621
2023-01-26 18:45:00,1.09040,1.08637
2023-01-26 18:50:00,1.09027,1.08647
2023-01-26 18:55:00,1.09081,1.08649
2023-01-26 19:00:00,1.09003,1.08646
2023-01-26 19:05:00,1.08987,1.08646
2023-01-26 19:10:00,1.08991,1.08667
2023-01-26 19:15:00,1.09026,1.08674
2023-01-26 19:20:00,1.08939,1.08665
2023-01-26 19:25:00,1.08884,1.08631
2023-01-26 19:30:00,1.08824,1.08629
2023-01-26 19:35:00,1.08868,1.08618
2023-01-26 19:40:00,1.08882,1.08612
2023-01-26 19:45:00,1.08845,1.08614
2023-01-26 19:50:00,1.08911,1.08633
2023-01-26 19:55:00,1.08936,1.08650
2023-01-26 20:00:00,1.08901,1.08648
2023-01-26 20:05:00,1.08877,1.08686
2023-01-26 20:10:00,1.08762,1.08688
2023-01-26 20:15:00,1.08698,1.08701
2023-01-26 20:20:00,1.08747,1.08693
2023-01-26 20:25:00,1.08696,1.08710
2023-01-26 20:30:00,1.08581,1.08744
2023-01-26 20:35:00,1.08552,1.08793
2023-01-26 20:40:00,1.08623,1.08828
2023-01-26 20:45:00,1.08646,1.08877
2023-01-26 20:50:00,1.08670,1.08869
2023-01-26 20:55:00,1.08643,1.08867
2023-01-26 21:00:00,1.08513,1.08886
2023-01-26 21:05:00,1.08633,1.08878
2023-01-26 21:10:00,1.08603,1.08883
2023-01-26 21:15:00,1.08608,1.08892
2023-01-26 21:20:00,1.08657,1.08898
2023-01-26 21:25:00,1.08659,1.08915
2023-01-26 21:30:00,1.08644,1.08890
2023-01-26 21:35:00,1.08647,1.08885
2023-01-26 21:40:00,1.08638,1.08883
2023-01-26 21:45:00,1.08683,1.08883
2023-01-26 21:50:00,1.08678,1.08867
